EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2010;2302;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;4;NA;NA;NA;2;1;1;1;6;4;5;4;4;10;6;7;10;12;12;16;15;19;18;6;5;3;3
2010;2303;2;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;2;NA;1;NA;1;1;1;NA;2;1;2;5;11;3;4;6;5;7;13;14;12;10;1;11;1
2010;2304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;4;2;3;5;3;5;7;3;6;4;6;2;1;1
2010;2305;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;2;3;1;2;5;3;6;2;6;9;6;11;7;13;7;9;3;2;1
2010;2306;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;1;NA;NA;NA;4;3;4;2;5;4;4;2;6;9;8;17;9;7;5;3;4
2010;2307;1;2;NA;NA;NA;NA;2;1;NA;1;NA;NA;NA;1;2;1;1;3;4;2;4;4;3;10;10;18;9;25;12;13;14;25;27;25;40;26;34;9;6;3
2010;2308;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;1;NA;3;6;2;NA;3;3;4;5;4;19;15;15;10;8;12;25;10;21;31;18;19;12;12;2
2010;2309;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;1;NA;2;1;1;2;2;2;2;3;7;5;4;10;7;8;5;9;5;4;NA
2010;2310;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;2;2;1;3;2;5;1;5;4;7;NA;7;5;10;7;12;14;6;9;4;2;1
2010;2311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;2;2;2;6;3;11;10;12;8;12;8;9;12;20;18;26;15;29;30;28;30;15;18;8
